(de) tempo parcial	envolvendo menos do que o tempo normal ou habitual para uma atividade
Irao	O (em persa: ايران), oficialmente República Islâmica do Irão (Irã) é um país asiático do Médio Oriente que limita a norte com a Arménia, o Azerbaijão, o Turquemenistão e o Mar Cáspio, a leste com o Afeganistão e o Paquistão, a oeste com o Iraque e a Turquia, a sul com o Golfo de Omã e com o Golfo Pérsico. A sua capital é Teerão, a sua língua oficial, o persa e a sua moeda é o rial.
Iraque	O Iraque (em árabe العراق, transl. al-Irāq, em curdo Îraq) é um país do Médio Oriente, limitado a norte pela Turquia, a leste pelo Irão, a sul pelo Golfo Pérsico, pelo Kuwait e pela Arábia Saudita e a oeste pela Jordânia e pela Síria. Sua capital é a cidade de Bagdá (Bagdad), no centro do país, às margens do rio Tigre.
Irlanda	Irlanda (; ) é a terceira maior ilha da Europa, situada no oceano Atlântico, que está politicamente dividida entre a República da Irlanda (oficialmente denominada Irlanda), um Estado que cobre cinco sextos (cerca de 85%) da ilha, e a Irlanda do Norte, parte do Reino Unido, que configura a sexta parte mais a nordeste da ilha.
Irlanda do Norte	Uma divisão do Reino Unido localizada na parte norte da ilha da Irlanda
Irã	O (em persa: ايران), oficialmente República Islâmica do Irão (Irã) é um país asiático do Médio Oriente que limita a norte com a Arménia, o Azerbaijão, o Turquemenistão e o Mar Cáspio, a leste com o Afeganistão e o Paquistão, a oeste com o Iraque e a Turquia, a sul com o Golfo de Omã e com o Golfo Pérsico. A sua capital é Teerão, a sua língua oficial, o persa e a sua moeda é o rial.
Irão	O (em persa: ايران), oficialmente República Islâmica do Irão (Irã) é um país asiático do Médio Oriente que limita a norte com a Arménia, o Azerbaijão, o Turquemenistão e o Mar Cáspio, a leste com o Afeganistão e o Paquistão, a oeste com o Iraque e a Turquia, a sul com o Golfo de Omã e com o Golfo Pérsico. A sua capital é Teerão, a sua língua oficial, o persa e a sua moeda é o rial.
Islandia	A Islândia (islandês: Ísland AFI: [ˈislant]), é um país insular europeu, situado no Oceano Atlântico Norte. O país possui uma população de cerca de 320.000 habitantes e uma área total de 103.000 km². Sua capital e maior cidade é Reiquiavique, cuja área metropolitana abriga cerca de dois terços da população nacional. Localizada na Dorsal Meso-Atlântica, a Islândia é muito ativa vulcânica e geologicamente, o que define sua paisagem. O interior é constituído principalmente por um planalto caracterizado por campos de areia, montanhas e geleiras, enquanto vários grandes rios glaciais correm para o mar através das planícies. Aquecida pela corrente do Golfo, a Islândia tem um clima temperado em relação à sua latitude e oferece um ambiente habitável.
Isle Royal	Isle Royale National Park é um parque nacional localizado na Isle Royale, uma ilha desabitada no Lago Michigan, nos Estados Unidos; inclui minas de ferro pré-históricas.
Islândia	A Islândia (islandês: Ísland AFI: [ˈislant]), é um país insular europeu, situado no Oceano Atlântico Norte. O país possui uma população de cerca de 320.000 habitantes e uma área total de 103.000 km². Sua capital e maior cidade é Reiquiavique, cuja área metropolitana abriga cerca de dois terços da população nacional. Localizada na Dorsal Meso-Atlântica, a Islândia é muito ativa vulcânica e geologicamente, o que define sua paisagem. O interior é constituído principalmente por um planalto caracterizado por campos de areia, montanhas e geleiras, enquanto vários grandes rios glaciais correm para o mar através das planícies. Aquecida pela corrente do Golfo, a Islândia tem um clima temperado em relação à sua latitude e oferece um ambiente habitável.
Italia	A Itália (italiano: Italia), oficialmente República Italiana (italiano: Repubblica Italiana), é um país situado na Península Itálica, na Europa meridional, e em duas ilhas no mar Mediterrâneo, Sicília e Sardenha. A Itália divide suas fronteiras alpinas no norte com a França, Suíça, Áustria e Eslovênia. Os estados independentes de San Marino e do Vaticano são enclaves no interior da Península Itálica e Campione d'Italia é um exclave italiano na Suíça.
Ithaca	uma cidade universitária no centro de Nova Iorque, no Lake Cayuga
Itália	A Itália (italiano: Italia), oficialmente República Italiana (italiano: Repubblica Italiana), é um país situado na Península Itálica, na Europa meridional, e em duas ilhas no mar Mediterrâneo, Sicília e Sardenha. A Itália divide suas fronteiras alpinas no norte com a França, Suíça, Áustria e Eslovênia. Os estados independentes de San Marino e do Vaticano são enclaves no interior da Península Itálica e Campione d'Italia é um exclave italiano na Suíça.
Iucateque	Iucateque ou iucateco é uma língua maia, falada na Península do Iucatão, norte do Belize e em partes da Guatemala. Permanece como a primeira língua de muitos habitantes dos estados mexicanos de Quintana Roo, Campeche e Iucatão.
Iugoslávia	Sérvia e Montenegro foi um estado federal com aproximadamente três anos de duração (de 2003 a 2006) situado nos Balcãs, último vestígio da antiga Iugoslávia, e composto, como o nome indica, pelas repúblicas da Sérvia e de Montenegro. Confinava a norte com a Hungria, a leste com a Roménia e a Bulgária, a sul com a Macedónia e a Albânia e a oeste com o Mar Adriático, a Bósnia e Herzegovina e a Croácia.
Jack o Estripador	um assassino inglês não identificado do século 19º
Jackson	7o. presidente dos EUA; defendeu com sucesso New Orleans dos britânicos em 1815; ampliou o poder da presidência (1767-1845)
James A. Garfield	20o. presidente dos Estados Unidos; assassinado por um frustrado pretendente ao cargo (1831-1881)
James Knox Polk	11º Presidente dos Estados Unidos; seu expansionismo levou à Guerra do México e a anexação da Califórnia e grande parte do sudoeste (1795-1849)
Janeiro	o primeiro mês do ano; começa 10 dias após o solstício de inverno no hemisferio norte
Jejum de Ester	(Judaísmo) um dia de jejum menor em Adar 13; comemora os três dias que Esther jejuou antes de se aproximar do rei persa, em nome do povo judeu; o jejum está ligado ao Purim
Jejum de Esther	(Judaísmo) um dia de jejum menor em Adar 13; comemora os três dias que Esther jejuou antes de se aproximar do rei persa, em nome do povo judeu; o jejum está ligado ao Purim
Jessye Norman	Estados Unidos soprano lírica (nascida em 1945)
Jibuti	O Djibuti ou Jibuti , também conhecido pela forma francesa Djibouti, é um pequeno país do nordeste de África, limitado a norte pela Eritreia, a leste pelo estreito de Bab el Mandeb, pelo Golfo de Aden e pela Somália e a sul e oeste pela Etiópia. A capital é Djibouti.
Joan Miró	Pintor surrealista espanhol (1893-1983)
Jogos Seculares	os ritos centenários e jogos da antiga Roma que marcavam o início de uma nova geração (100 anos representam a vida mais longa em uma geração); observâncias pode ter começado tão cedo quanto o século 5 AC e durou até a era cristã
John Lennon	estrela do rock inglês, guitarrista e compositor que com Paul McCartney escreveu a maioria das músicas dos Beatles (1940-1980)
John Rock	ginecologista dos Estados Unidos e católico devoto que realizou os primeiros testes clínicos da pílula contraceptiva oral (1890-1984)
John dos Passos	Escritor dos Estados Unidos lembrado por sua interpretação da vida nos Estados Unidos no periodo (1896-1970)
Johnny Cash	cantor e compositor americano de música country (1932-2003)
Jordania	A Jordânia (em árabe الأردن‎, transl. al-Urdunn) é um país do Médio Oriente, limitado a norte pela Síria, a leste pelo Iraque, a leste e a sul pela Arábia Saudita e a oeste pelo Golfo de Aqaba (através do qual faz fronteira marítima com o Egipto), por Israel e pelo território palestiniano da Cisjordânia. Sua capital é a cidade de Amã.
Jordânia	A Jordânia (em árabe الأردن‎, transl. al-Urdunn) é um país do Médio Oriente, limitado a norte pela Síria, a leste pelo Iraque, a leste e a sul pela Arábia Saudita e a oeste pelo Golfo de Aqaba (através do qual faz fronteira marítima com o Egipto), por Israel e pelo território palestiniano da Cisjordânia. Sua capital é a cidade de Amã.
João Pessoa	uma cidade no nordeste do Brasil, perto do Oceano Atlântico, ao norte do Recife
Judeu Errante	um lendário judeu condenado a vagar pelo mundo por ter gozado com Jesus durante a crucificação
Jugoslávia	Sérvia e Montenegro foi um estado federal com aproximadamente três anos de duração (de 2003 a 2006) situado nos Balcãs, último vestígio da antiga Iugoslávia, e composto, como o nome indica, pelas repúblicas da Sérvia e de Montenegro. Confinava a norte com a Hungria, a leste com a Roménia e a Bulgária, a sul com a Macedónia e a Albânia e a oeste com o Mar Adriático, a Bósnia e Herzegovina e a Croácia.
Jujuba	árvore espinhosa de frutas comestíveis vermelho escuro
Julho	no mês seguinte a junho e anterior a agosto
Jumada Al-awwal	O quinto mês do calendário islâmico
Jumada al-awwal	O quinto mês do calendário islâmico
Kansas City	Uma cidade do noroeste do estado de Kansas no Rio Missouri adjacente a Kansas City, Missouri
Kavir	Um deserto de sal no norte do Irã central
King	guitarrista e cantor de blues dos Estados Unidos (nascido em 1925)
Kiribati	Kiribati ou Quiribati (em gilbertês: Kiribati; AFI: [ˈkiɾibas]), também grafado Quiribáti, é um país da Micronésia e Polinésia que ocupa uma área muito vasta do Oceano Pacífico, mas que é bem pequeno em termos de área terrestre.
Kiribáti	Kiribati ou Quiribati (em gilbertês: Kiribati; AFI: [ˈkiɾibas]), também grafado Quiribáti, é um país da Micronésia e Polinésia que ocupa uma área muito vasta do Oceano Pacífico, mas que é bem pequeno em termos de área terrestre.
Kissinger	diplomata dos Estados Unidos que serviu sob o presidente Nixon e o presidente Ford (nasceu em 1923)
Kuwait	O Kuwait, Kuweit, Koweit ou Kuaite (também chamado Coveite e aceite as grafias de Couaite e Cuaite por linguistas em Portugal) é um pequeno país do Oriente Médio, limitado a norte e oeste pelo Iraque, a leste pelo Golfo Pérsico, do outro lado do qual se estendem as costas do Irão, e a sul pela Arábia Saudita. Capital: Kuwait. A forma de soberania é o emirado, sendo o chefe-de-Estado designado por emir ou xeque.
Lago Ysse	um lago raso no noroeste da Holanda, criado em 1932 através da construção de uma barragem, através da entrada para o Zuiderzee
Lao	O Laos é um país asiático, localizado na Indochina e limitado a norte pela China, a leste pelo Vietname, a sul pelo Camboja, a sul e oeste pela Tailândia e a oeste por Myanmar.
Laos	O Laos é um país asiático, localizado na Indochina e limitado a norte pela China, a leste pelo Vietname, a sul pelo Camboja, a sul e oeste pela Tailândia e a oeste por Myanmar.
Laramie	Uma cidade universitária no sudeste de Wyoming
Laridae	A família da gaivota: gaivotas e andorinhas
Larídeos	A família da gaivota: gaivotas e andorinhas
Las Vegas	estabelecida originalmente pelos mórmons, agora é famosa por jogos de azar, diversao e excessos em geral
Laus	O Laos é um país asiático, localizado na Indochina e limitado a norte pela China, a leste pelo Vietname, a sul pelo Camboja, a sul e oeste pela Tailândia e a oeste por Myanmar.
Leis de Moisés	as leis (a começar com os Dez Mandamentos) que Deus deu aos Israelitas por intermédio de Moisés; incluem muitas regras de observância religiosa, descritas nos primeiros cinco livros do Antigo Testamento (no judaísmo esses livros são chamados a Torah)
Lesoto	Lesoto (antiga Basutolândia) é um pequeno país da África Austral, encravado no interior da África do Sul. O país tem um dos mais altos índices de contaminação do Vírus HIV do mundo.
Lest Saint Louis	uma cidade no sudoeste de Illinois, no rio Mississippi, em frente a Saint Louis
Libéria	A Libéria é um país da África Ocidental, limitado a norte pela Serra Leoa e pela Guiné, a leste pela Costa do Marfim e a sul e a oeste pelo Oceano Atlântico. A sua capital é a cidade de Monróvia. A Libéria ("Terra Livre") foi fundada no século XIX por escravos libertos dos Estados Unidos da América, não tendo conhecido o domínio colonial.
Liechtenstein	Liechtenstein ou Listenstaine (forma usada oficialmente pela União Europeia ) é um minúsculo principado, um microestado, localizado no centro da Europa, encravado nos Alpes, entre a Áustria, a leste, e a Suíça a oeste. Pouco mais de 34 mil habitantes moram no principado de apenas 160 km².
Liga Hanseática	uma confederação comercial e defensiva de cidades livres no norte da Alemanha e áreas adjacentes; formada em 1241 e mais influente no século 14, quando incluia mais de 100 cidades e funcionava como um poder político independente; a última assembléia oficial foi realizada em 1669
Lingua inglesa	a língua oficial da Grã-Bretanha, dos Estados Unidos e da maioria dos países da Commonwealth
Lingüística computacional	o uso de computadores para pesquisas linguísticas e aplicações
Listas de Portugal	Portugal, oficialmente República Portuguesa, é um país localizado no sudoeste da Europa, cujo território se situa na zona ocidental da Península Ibérica e em arquipélagos no Atlântico Norte. Possui uma área total de 92 090 km², e é a nação mais ocidental do continente europeu. O território português é delimitado a Norte e a Leste por Espanha e a Sul e Oeste pelo Oceano Atlântico, e compreende a parte continental e as regiões autónomas: os arquipélagos dos Açores e da Madeira.
Listenstaine	Liechtenstein ou Listenstaine (forma usada oficialmente pela União Europeia ) é um minúsculo principado, um microestado, localizado no centro da Europa, encravado nos Alpes, entre a Áustria, a leste, e a Suíça a oeste. Pouco mais de 34 mil habitantes moram no principado de apenas 160 km².
Lubeck	uma cidade no noroeste da Alemanha e um importante porto do Báltico; dos principais membros da Liga Hanseática
Lucas	roteirista e cineasta dos Estados Unidos (nascido em 1944)
Lucille Ball	comediante dos Estados Unidos, conhecida como a estrela de um programa de televisão popular (1911-1989)
Lìngua sindi	O sindi (سنڌي, सिन्धी) é uma língua indo-ariana falada na província de Sind (sudeste do Paquistão) e nos estados de Guzerate e Rajastão (no oeste da Índia), na área geográfica do vale do baixo rio Indo, na Ásia meridional. Aproximadamente 18,5 milhões de pessoas falam o sindi no Paquistão e outros 2,8 milhões o falam na Índia; ambos os países o consideram como uma de suas línguas oficiais (ver lista de línguas nacionais da Índia).
Líbano	O Líbano (em árabe , transl. Lubnān, ) , oficialmente República do Líbano (em árabe: Jumhuriyah al-Lubnānīyah; Francês: République libanaise), é um país da Ásia Ocidental, na costa oriental do Mar Mediterrâneo. Faz fronteira com a Síria ao norte e a leste e com Israel ao sul. A localização do Líbano, no cruzamento da bacia do Mediterrâneo e a região árabe tem ditado a sua história rica, às vezes violenta, e a forma da sua identidade cultural única em diversidade étnica e religiosa.
Líbia	Líbia (em árabe ليبيا, transl. Lībiyā, no árabe líbio Lībya; berbere ) é um país do norte de África, limitado a norte pelo Mar Mediterrâneo, a leste pelo Egito e pelo Sudão, a sul pelo Chade e pelo Níger e a oeste pela Argélia e pela Tunísia. Sua capital é Trípoli. É o país com o maior IDH da África (0,847) e um dos três do continente que apresentam IDH alto (os outros dois são Seicheles e Maurícia).
Língua Africâner	Africâner, africânder ou afrikaans é uma língua do ramo germânico do grupo indo-europeu falada na África do Sul e na Namíbia.
Língua Azeri	A língua azeri (em azeri: azərbaycanca), também conhecida como azerbaijana, é um idioma do ramo turcomano da grande família das línguas altaicas.
Língua Bielorrussa	A língua bielorrussa (беларуская мова, biełaruskaja mova), conhecida antigamente como rutênio branco ou russo branco, é a língua eslava oriental materna da maioria dos bielorrussos.
Língua Cheyenne	A língua cheyenne (Tsėhesenėstsestotse ou, em grafia mais simples, Tsisinstsistots) é uma língua falada atualmente nos estados americanos de Montana e Oklahoma. Faz parte da família de línguas algonquinas e tem uma complexa morfologia aglutinativa.
Língua Choctaw	A língua choctaw é uma língua tradicionalmente falada pelos povos nativos Choctaw, do sudeste dos Estados Unidos da América, é um membro da família Muscogee.
Língua Chukoto	A Língua Chukoto ou Chukchi (лыгъоравэтлъэн йилыйил, łygˀoravetłˀɛn jilǝjil), também Luoravetlana, Chukcha é uma das Línguas paleo-siberianas faladas pelos Chukchis no ponto mais extremo da Siberia, em especial no Okrug Autônomo Chukotka.
Língua Ewe	A língua éwé ou ewe (Eʋegbe) é uma das Línguas kwa falada por cerca de três milhões de pessoas, principalmente em Gana, Togo e em Benim. ewe é parte de um grupo de línguas relacionadas comumente chamado Gbe, estendendo-se da Gana oriental à Nigéria ocidental. Outras línguas Gbe incluem Fon e Aja. Como outras línguas Gbe, Ewe é uma língua tonal.
Língua Gestual Estadunidense	A Língua de Sinais Americana (em Portugal: Língua Gestual Americana, nome original: American Sign Language, também conhecida pelas iniciais ASL) é a língua de sinais dominante, através da qual a comunidade surda nos Estados Unidos da América, nos lugares de expressão anglófona do Canadá, e algumas partes do México, se comunica.
Língua Havaiana	O havaiano (havaiano: ‘Ōlelo Hawai'i) é a língua ancestral do povo indígena das ilhas do Havai, os havaianos, um povo polinésio. O havaiano, junto com o inglês, é uma língua oficial no estado do Havai. É digna de nota por possuir um pequeno inventário de fonemas (ver o alfabeto havaiano, abaixo), como muitas das suas primas polinésias. Digno de especial nota é o facto de que originalmente não distinguia entre /t/ e /k/; há poucas línguas desprovidas dessa distinção. Uma pronúncia /t/ desse fonema era comum na extremidade Kauai da cadeia de ilhas, e uma pronúncia /k/ na extremidade oposta (ilha de Havai). Depois de Kamehameha, o Grande, natural da ilha de Havai, ter conquistado todas as ilhas, a pronúncia /k/ venceu a pronúncia /t/, embora esta se mantenha em Niihau.
Língua Hindi	O hindi (ou híndi) é uma língua indo-ariana, derivada do sânscrito e falada por 70% dos indianos, principalmente no norte, centro e oeste da Índia. É parte de uma continuidade dialetal da família indo-ariana.
Língua Hopi	A língua Hopi pertence ao grupo Uto-Azteca e é falada pelos Hopis, uma nação índia do nordeste do Arizona, E.U.A., embora muitos membros desta tribo actualmente não a conheçam profundamente, falando apenas inglês. No entanto, apesar do uso desta língua (como de muitas línguas minoritárias dos EUA) ter diminuído durante o século XX, a língua Hopi está a recuperar o seu papel social: muitas crianças Hopi estão a aprender a língua, foi publicado um dicionário completo Hopi-inglês e um grupo chamado "Projecto de Alfabetização Hopi" promove a língua.
Língua Iorubá	O iorubá ou ioruba (Èdè Yorùbá, "idioma iorubá") é um idioma da família linguística nigero-congolesa, e é falado ao sul do Saara, na África, dentro de um contínuo cultural-lingüístico, por 22 milhões a 30 milhões de falantes.
Língua Islandesa	O islandês (íslenska) é uma língua nórdica do ramo germânico falada por aproximadamente 300 mil pessoas na Islândia.
Língua Khmer	A língua khmer ( , ) é o idioma oficial do Camboja, pertencente à família mon-khmer. É também chama de Cambojano, sendo a língua do povo ‘’’Khmer’’’.
Língua Maori	O maori é um idioma austronésio, falada pelos nativos da Nova Zelândia e das Ilhas Cook, no Pacífico. Até metade do século XIX era a língua predominante nessa região; hoje é falada por aproximadamente 100 mil pessoas. O idioma mais semelhante ao maori é o taitiano.
Língua Náuatle	O , também chamado de asteca, é um grupo de línguas e dialetos pertencentes ao ramo asteca da família linguística uto-asteca, todas nativas da Mesoamérica e faladas por cerca de 1,5 milhão de náuatles, a maioria no centro do México.
Língua Pahlavi	O pahlavi é um idioma antigo, já extinto, falado na região Noroeste do Irã. Foi o idioma oficial de estado dos Arsácidas (248 a.C. - 224 d.C.) Alguns traços do pahlavi ainda são possíveis de serem identificados no idioma armênio.
Língua Persa	A língua persa, persa moderno, parse ou pársi (فارسی, fārsī, ou پارسی, pārsī) pertence ao grupo indo-iraniano da família das línguas indo-europeias, e é falada no Irã, Afeganistão, Tadjiquistão, Uzbequistão, Bahrein, Iraque, Azerbaijão, Armênia, Geórgia, sul da Rússia e em regiões vizinhas. Nos três primeiros países, tem status de língua oficial.
Língua Tcheca	Tcheco ou checo é uma língua falada principalmente na República Tcheca (Checa) e que forma parte, junto com o polonês, o eslovaco e o sórbio, do subgrupo ocidental das línguas eslavas. As línguas tcheca e eslovaca são mutuamente inteligíveis. Nas duas províncias da Boêmia e Morávia e na parte meridional da Silésia é falado por cerca de 9,5 milhões de pessoas. Há também comunidades isoladas nos países vizinhos.
Língua Tshiluba	O tshiluba (também chamado luba-kasai e luba-lulua) é uma língua bantu falada na República Democrática do Congo, onde possui o status de língua nacional.
Língua Tâmil	O tâmil é uma língua dravídica falada no sul da Índia (oficial no estado de Tamil Nadu), Sri Lanka, Myanmar (ex-Birmânia), Malásia, Indonésia, Vietname, Singapura e ainda em zonas do sul e leste da África, pelo povo tâmil.
Língua Ugarítica	O idioma ugarítico só é conhecido na forma de escritos encontrados na cidade perdida de Ugarit, na Síria, desde sua descoberta por arqueólogos franceses em 1928. Estes escritos foram extremamente importantes para estudiosos do Velho Testamento, por auxiliarem a clarificar textos hebraicos e revelarem mais de como o judaísmo utilizava frases comuns, expressões literárias e frases empregadas pelas culturas gentis que o cercavam.
Língua Vietnamita	O vietnamita (tiếng Việt, tiếng Việt Nam, ou Việt ngữ), uma língua tonal, é a língua nacional e oficial do Vietnã (Việt Nam). É a língua materna do povo vietnamita (người Việt or người kinh), que constitui cerca de 87% da população do Vietnã e de cerca de dois milhões de emigrantes vietnamitas, incluindo um número significante de vietnamitas nos Estados Unidos. É também falada como a segunda língua das minorias da população do Vietnã. Apesar de conter muitos vocábulos emprestados do chinês e ter sido originalmente escrita usando caracteres chineses, é considerada por linguistas como sendo uma língua mon-khmer.
Língua Xhosa	Xhosa (ou IsiXhosa, visto que a forma simples é normalmente utilizada para denominar os seus falantes) é uma das 11 línguas oficiais da África do Sul. É falada por aproximadamente 7,9 milhões de pessoas (cerca de 18% de sul-africanos), principalmente nas províncias do Cabo e sul do KwaZulu-Natal, mas também nos países vizinhos, Botswana e Lesoto.
Língua abecásia	O abecásio ou abcásio (Аҧсуа) é uma das línguas caucasianas do norte-centro falada principalmente na Abecásia, república de facto independente, mas oficialmente república autônoma da Geórgia.
Língua acádia	O acádio (lišānum akkadītum), também conhecido como acadiano ou assiro-babilônio era uma língua semítica (parte da família afro-asiática) falada na antiga Mesopotâmia, particularmente pelos assírios e babilônios. A mais antiga língua semítica registrada, ela utilizava a escrita cuneiforme, que por sua vez havia sido derivada do antigo sumério, uma língua isolada sem qualquer parentesco. O nome da língua é derivado da cidade de Acádia, um dos principais centros da civilização mesopotâmica.
Língua africâner	Africâner, africânder ou afrikaans é uma língua do ramo germânico do grupo indo-europeu falada na África do Sul e na Namíbia.
Língua aleúte	O aleúte (Unangam Tunuu) é um idioma da família esquimó-aleúte. É falado pelos aleútes que vivem nas ilhas Aleutas, ilhas Pribilof e ilhas Comandante. Em 1995 existiam apenas 305 falantes do aleúte.
Língua assamesa	O assamês (অসমীয়া Ôxômiya) é a língua oficial do estado de Assam, no nordeste da Índia. Também é falada em partes de Arunachal Pradesh e outros estados indianos daquela região. Alguns bolsões de falantes do assamês encontram-se no Butão e em Bangladesh. Falada por mais de 20 milhões de pessoas, é, do ponto de vista geográfico, a mais oriental dentre as línguas indo-européias.
Língua azeri	A língua azeri (em azeri: azərbaycanca), também conhecida como azerbaijana, é um idioma do ramo turcomano da grande família das línguas altaicas.
Língua balinesa	O balinês ou simplesmente bali é uma língua malaio-polinésia falada por 3.9 milhões de pessoas (dados de 2001) na ilha indonésia de Bali, bem como no norte de Nusa Penida, oeste de Lombok e leste de Java. A maioria dos balineses também fala o indonésio.
Língua bhasa	O bhasa (नेपाल भाषा, também conhecido como newah bhaye e newari) é uma das línguas mais importantes do Nepal. É uma das quase quinhentas línguas sino-tibetanas existentes atualmente, e pertence ao ramo tibeto-birmanês desta família. É a única língua tibetano-birmanesa a ser escrita no sistema devanágari.
Língua bhasa de Nepal	O bhasa (नेपाल भाषा, também conhecido como newah bhaye e newari) é uma das línguas mais importantes do Nepal. É uma das quase quinhentas línguas sino-tibetanas existentes atualmente, e pertence ao ramo tibeto-birmanês desta família. É a única língua tibetano-birmanesa a ser escrita no sistema devanágari.
Língua bhasa de nepal	O bhasa (नेपाल भाषा, também conhecido como newah bhaye e newari) é uma das línguas mais importantes do Nepal. É uma das quase quinhentas línguas sino-tibetanas existentes atualmente, e pertence ao ramo tibeto-birmanês desta família. É a única língua tibetano-birmanesa a ser escrita no sistema devanágari.
Língua bielorrussa	A língua bielorrussa (беларуская мова, biełaruskaja mova), conhecida antigamente como rutênio branco ou russo branco, é a língua eslava oriental materna da maioria dos bielorrussos.
Língua bretã	O bretão (Brezhoneg, código ISO 639 br ou bre) é uma língua celta falada na zona ocidental da Bretanha, conhecida como Baixa Bretanha (Breizh Isel). Intimamente relacionado com o córnico e com o galês, um pouco mais distante do gaélico irlandês e gaélico escocês, o bretão é a única língua celta sem estatuto oficialmente reconhecido. Faz parte da familia indo-européia. Dicionário * Minidicionário Bretão-português & Português-bretão, Yoran Embanner, 2005, ISBN : 2-914855-13-3 História A área era conhecida pelos romanos como Armórica, foi renomeada "Pequena Bretanha por causa do povo que veio da Grã-Bretanha, especialmente na Cornualha, no século VI D.C. Entre 1880 e meados do século XX, o ensino do "Bretão" foi banido das escolas e as crianças eram punidas se falassem a língua. Isso mudou, porém, em 1951 com a promulgação da Lei Deixonne, que passou a permitir o ensino da cultura e da lingua Bretã por uma três horas por semana na educação pública, se os professores assim o quisessem e conhecesem a língua.
Língua canaresa	O canarês, também conhecido como canará ou canada (ಕನ್ನಡ, transl. kannaḍa) é uma das principais línguas dravídicas do sul da Índia e uma das mais antigas do país. É a primeira língua de cerca de 45 milhões de falantes e a segunda língua de mais 10 milhões de pessoas. É a língua oficial do estado indiano de Karnataka e um dos idiomas oficiais da Índia. Há também falantes do canará em Andhra Pradesh, Maharashtra, Tâmil Nadu, Kerala e Goa.
Língua caqchiquel	A língua caqchiquel é uma língua mesoamericana e um membro do ramo quicheano-mameano das línguas maias. É falada pelo povo maia caqchiquel da Guatemala central. É uma língua próxima do quiché e do tsutuil.
Língua carélia	A língua carélia ou carélio é um idioma proveniente da família das línguas urálicas, pertencendo ao grupo dos balto-fínico, tendo muita semelhança com a língua finlandesa, país a que pertence parcialmente a Carélia. As origens étnicas do povo são finlandesas, o que se reflete nos hábitos e na arquitetura local.
Língua caxemira	O caxemira ou caxemíri (कॉशुर ou کٲشُر em caxemira; कश्मीरी ou کشمیری em hindustâni) é uma língua dárdica falada principalmente no vale de Caxemira. Com cerca de 4.611.000 de falantes, é uma das 23 línguas oficiais da Índia. O caxemira pertence ao ramo indo-ariano da família lingüística indo-européia.
Língua cebuana	Cebuano é uma língua austronésia falada por aproximadamente 20 milhões de pessoas principalmente em Cebu. Seu código ISO 639 é ceb.
Língua cheyenne	A língua cheyenne (Tsėhesenėstsestotse ou, em grafia mais simples, Tsisinstsistots) é uma língua falada atualmente nos estados americanos de Montana e Oklahoma. Faz parte da família de línguas algonquinas e tem uma complexa morfologia aglutinativa.
Língua chona	Chixona ou chichona, ou simplesmente xona ou chona em português (ChiShona em outras línguas) é o nome dado a um grupo de línguas africanas faladas principalmente na metade norte do Zimbabwe (por exemplo nas províncias de Mashonaland Central, Mashonaland Este e Mashonaland Oeste, cujos nomes referem os seus falantes), no leste da Zâmbia e nas províncias de Manica, Tete e Sofala de Moçambique.
Língua chukoto	A Língua Chukoto ou Chukchi (лыгъоравэтлъэн йилыйил, łygˀoravetłˀɛn jilǝjil), também Luoravetlana, Chukcha é uma das Línguas paleo-siberianas faladas pelos Chukchis no ponto mais extremo da Siberia, em especial no Okrug Autônomo Chukotka.
Língua comanche	Comanche é uma língua uto-asteca falada pelo povo comanche. Os comanches se separaram dos shoshones pouco depois de obterem cavalos, por volta de 1705. A língua comanche e a língua shoshone são, portanto, extremamente similares - embora algumas mudanças consonantais do comanche não permitam a inteligibilidade mútua.
Língua cree	Cree é uma língua de um povo indígena localizado na América do Norte entre o norte dos Estados Unidos e o Canadá. Gramática Alfabeto Usam o alfabeto silabário. =Exemplos = ᓂ = ni, ᐤ = u, ᓀ = ne, ᔥ = sh, ᒡ = ch, ᑐ = tu, ᐱ = pi, ᐯ = pe, ᔭ = ya, ᒥ = mi, ᔪ = yu, ᔓ = shu.
Língua córnica	O córnico (Kernewek, Kernowek ou Curnoack) é uma língua celta do grupo britônico, falada na Cornualha, península do Reino Unido. O córnico foi a língua das comunidades locais até o final do século XVIII, quando foi substituído gradualmente pelo inglês até ser virtualmente extinto no século XVIII. Desde 1904 vem-se tentando ressuscitar o idioma, e hoje em dia ele é falado com fluência por cerca de 2000 indivíduos.
Língua dari	O dari ou dari persa é o nome local da língua persa no Afeganistão. É a principal língua do país, falada por 60% da população, principalmente no norte e noroeste do país, e também em Cabul. É a principal língua dos povos tadjiques, hazará e chahar aimak. A língua serve como meio de comunicação entre diferentes povos do Afeganistão.
Língua de Sinais Americana	A Língua de Sinais Americana (em Portugal: Língua Gestual Americana, nome original: American Sign Language, também conhecida pelas iniciais ASL) é a língua de sinais dominante, através da qual a comunidade surda nos Estados Unidos da América, nos lugares de expressão anglófona do Canadá, e algumas partes do México, se comunica.
Língua de sinais americana	A Língua de Sinais Americana (em Portugal: Língua Gestual Americana, nome original: American Sign Language, também conhecida pelas iniciais ASL) é a língua de sinais dominante, através da qual a comunidade surda nos Estados Unidos da América, nos lugares de expressão anglófona do Canadá, e algumas partes do México, se comunica.
